Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress ScoreÂ®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-02-23 18:47:52,false,"Quan Cam Le - Yasso 800s","8.32","540","00:51:14","159","180","172","186","6:10","4:38","2","4","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.22.2","12","0.0","--","--","--","--","--","--","--","00:51:11","00:51:14","2","5"
Running,2023-02-21 18:35:16,false,"Quan Cam Le Running","12.59","773","01:27:47","142","161","172","180","6:58","5:27","17","24","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:27:46.92.8","1","0.0","--","--","--","--","--","--","--","01:27:47","01:27:47","1","11"
Running,2023-02-19 16:48:12,false,"Quan Cam Le Running","21.10","1,336","02:11:33","156","172","174","185","6:14","5:41","62","64","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:11:33.44.4","1","0.0","--","--","--","--","--","--","--","02:11:17","02:17:04","-3","12"
Other,2023-02-18 17:30:38,false,"Other","0.00","216","00:31:48","119","150","37","246","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:47.64.9","1","0.0","--","--","--","--","--","--","--","00:00:00","00:31:57","--","--"
Running,2023-02-17 19:10:59,false,"Quan Cam Le Running","7.22","447","00:46:23","142","149","172","180","6:25","5:37","17","26","0.90","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","46:22.57.5","1","0.0","--","--","--","--","--","--","--","00:46:22","00:46:23","-4","11"
Running,2023-02-16 18:18:47,false,"Quan Cam Le Running","10.07","639","00:59:29","153","170","177","231","5:54","5:11","33","30","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","59:28.71.8","1","0.0","--","--","--","--","--","--","--","00:59:22","01:00:13","-3","11"
Running,2023-02-14 18:24:28,false,"Quan Cam Le Running","10.04","606","01:08:20","142","158","171","211","6:48","5:55","23","23","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:08:20.15","1","0.0","--","--","--","--","--","--","--","01:08:20","01:08:20","--","7"
Running,2023-02-13 06:12:04,false,"Quan Cam Le Running","5.58","342","00:38:40","139","148","169","177","6:56","6:06","17","25","0.85","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","38:39.55.4","1","0.0","--","--","--","--","--","--","--","00:38:28","00:39:21","1","11"
Running,2023-02-12 06:09:37,false,"Quan Cam Le Running","9.49","576","01:01:01","145","160","172","183","6:26","5:28","22","22","0.91","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:01:01.27","1","0.0","--","--","--","--","--","--","--","01:00:59","01:01:46","--","7"
Running,2023-02-12 05:24:29,false,"Quan Cam Le Running","6.98","417","00:44:36","140","149","172","180","6:23","5:51","11","11","0.91","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","44:35.56.9","1","0.0","--","--","--","--","--","--","--","00:44:36","00:44:46","--","7"
Running,2023-02-11 07:09:59,false,"Quan Cam Le Running","6.39","392","00:44:39","137","146","170","176","6:59","6:24","1","1","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","44:38.89.5","1","0.0","--","--","--","--","--","--","--","00:44:38","00:44:39","2","5"
Running,2023-02-10 05:22:08,false,"Quan Cam Le Running","5.30","311","00:38:50","134","141","167","171","7:19","6:30","18","25","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","38:49.58","1","0.0","--","--","--","--","--","--","--","00:38:50","00:38:50","-4","10"
Running,2023-02-09 05:20:21,false,"Quan Cam Le Running","10.01","631","00:59:42","159","186","174","191","5:58","4:35","17","17","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.63.8","4","0.0","--","--","--","--","--","--","--","00:59:35","01:01:04","--","7"
Running,2023-02-07 17:57:18,false,"Quan Cam Le Running","11.46","721","01:17:07","149","164","168","240","6:44","5:35","35","39","0.88","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:17:06.72.4","1","0.0","--","--","--","--","--","--","--","01:17:07","01:17:16","-3","12"
Running,2023-02-05 17:26:52,false,"Quan Cam Le Running","10.19","626","00:59:57","154","171","173","183","5:53","4:54","32","28","0.99","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","59:56.89.6","1","0.0","--","--","--","--","--","--","--","00:59:57","00:59:57","-1","10"
Walking,2023-02-04 07:35:14,false,"Quan Cam Le Walking","0.99","67","00:11:38","122","138","103","216","11:44","9:42","13","7","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","11:37.72.1","1","0.0","--","--","--","--","--","--","--","00:11:38","00:11:38","-2","9"
Running,2023-02-04 06:51:46,false,"Quan Cam Le Running","6.42","410","00:40:08","157","175","171","179","6:15","5:46","25","22","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","40:07.64.1","1","0.0","--","--","--","--","--","--","--","00:40:01","00:40:12","-3","12"
Running,2023-02-02 18:00:56,false,"Quan Cam Le Running","10.94","688","01:09:40","158","176","169","180","6:22","5:33","22","22","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:09:40.44.5","1","0.0","--","--","--","--","--","--","--","01:09:10","01:13:48","-1","10"
Running,2023-01-31 05:57:08,false,"Quan Cam Le Running","10.37","638","01:11:26","149","163","167","227","6:53","5:52","40","29","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:11:25.72.7","1","0.0","--","--","--","--","--","--","--","01:11:25","01:14:08","-2","10"
Running,2023-01-30 19:09:03,false,"Quan Cam Le Running","0.31","19","00:02:09.8","130","147","161","175","7:00","6:15","7","6","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:09.79.6","1","0.0","--","--","--","--","--","--","--","00:02:05","00:02:09.8","2","9"
Running,2023-01-30 06:25:36,false,"Quan Cam Le Running","5.08","308","00:32:01","152","162","169","180","6:19","0:17","12","17","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","32:01.24.9","1","0.0","--","--","--","--","--","--","--","00:31:36","00:39:00","-0","10"
Running,2023-01-29 07:06:48,false,"Quan Cam Le Running","5.17","321","00:32:33","151","162","171","176","6:18","5:27","15","17","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","32:32.55.2","1","0.0","--","--","--","--","--","--","--","00:32:33","00:32:33","-2","9"
Running,2023-01-23 06:12:02,false,"Huyen Krong Buk Running","3.04","214","00:23:26","146","170","155","205","7:42","6:13","88","86","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","23:25.64.9","1","0.0","--","--","--","--","--","--","--","00:23:12","00:23:31","694","749"
Running,2023-01-18 17:45:42,false,"Quan Son Tra Running","5.55","333","00:31:26","154","166","175","183","5:40","4:59","9","8","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:26.16.3","1","0.0","--","--","--","--","--","--","--","00:31:26","00:31:26","3","10"
Running,2023-01-17 18:17:23,false,"Quan Son Tra - W04D2-Intervals","10.36","606","00:59:05","153","173","173","184","5:42","4:29","12","14","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:00.00","8","0.0","--","--","--","--","--","--","--","00:59:05","00:59:05","3","9"
Running,2023-01-16 18:15:14,false,"Quan Son Tra Running","10.09","597","00:59:48","148","154","176","184","5:56","5:10","10","10","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","59:48.06.6","1","0.0","--","--","--","--","--","--","--","00:59:48","00:59:48","6","11"
Running,2023-01-15 16:20:11,false,"Quan Son Tra Running","21.23","1,306","02:14:06","157","171","171","246","6:19","5:19","61","67","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:14:06.43.1","1","0.0","--","--","--","--","--","--","--","02:13:56","02:14:21","--","15"
Running,2023-01-12 18:47:42,false,"Quan Son Tra Running","6.97","442","00:44:41","150","159","167","175","6:24","5:06","20","22","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","44:41.36.4","1","0.0","--","--","--","--","--","--","--","00:44:41","00:44:41","2","18"
Running,2023-01-11 18:22:47,false,"Quan Son Tra Running","10.79","662","01:06:11","150","162","171","178","6:08","5:29","26","24","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:06:11.32.4","1","0.0","--","--","--","--","--","--","--","01:06:03","01:06:20","1","12"
Running,2023-01-10 18:35:13,false,"Quan Son Tra - W03D2-Intervals","10.08","620","00:58:50","161","177","174","186","5:50","4:31","15","13","0.98","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:30.00","12","0.0","--","--","--","--","--","--","--","00:58:50","00:58:50","3","9"
Running,2023-01-08 06:12:14,false,"Quan Son Tra Running","14.10","851","01:25:24","156","179","170","222","6:04","4:41","196","195","0.97","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:25:23.57.9","1","0.0","--","--","--","--","--","--","--","01:25:23","01:25:24","2","62"
Running,2023-01-08 06:03:05,false,"Quan Son Tra - W02D7-Long Run","1.39","83","00:08:44.5","142","152","165","174","6:18","5:24","3","5","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:44.53.6","1","0.0","--","--","--","--","--","--","--","00:08:44.5","00:08:44.5","4","10"
Running,2023-01-06 07:20:36,false,"Quan Hai Chau Running","2.64","165","00:17:21","145","155","155","225","6:35","4:50","7","9","0.98","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","17:21.48.4","1","0.0","--","--","--","--","--","--","--","00:16:24","00:17:21","--","11"
Running,2023-01-06 05:41:51,false,"Quan Son Tra Running","4.70","278","00:38:11","131","151","148","176","8:07","5:38","44","46","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","38:10.88.9","1","0.0","--","--","--","--","--","--","--","00:36:58","00:39:35","--","13"
HIIT,2023-01-04 18:44:58,false,"HIIT","0.00","95","00:15:51","115","148","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:35.03.3","2","0.0","--","--","--","--","--","--","--","00:00:00","00:15:53","--","--"
Running,2023-01-04 17:30:26,false,"Quan Son Tra - W02D3-Intervals","10.65","632","01:01:46","157","172","173","189","5:48","4:11","7","7","1.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:30.00","14","0.0","--","--","--","--","--","--","--","01:01:23","01:01:46","3","12"
Running,2023-01-03 18:01:01,false,"Quan Son Tra - W02D2-Recovery Run","10.83","629","01:19:23","132","139","162","171","7:20","6:02","14","14","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","34:23.13.7","2","0.0","--","--","--","--","--","--","--","01:19:17","01:19:35","2","12"
Running,2023-01-02 16:52:23,false,"Quan Son Tra Running","10.20","606","01:04:15","142","155","171","227","6:18","5:39","19","18","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:04:15.40.7","1","0.0","--","--","--","--","--","--","--","01:04:15","01:04:15","1","20"
HIIT,2023-01-02 16:35:39,false,"HIIT","0.00","69","00:12:36","108","130","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","12:35.53.1","1","0.0","--","--","--","--","--","--","--","00:00:00","00:12:36","--","--"
Running,2022-12-31 18:17:55,false,"Quan Son Tra Running","5.07","315","00:32:22","150","157","169","177","6:23","5:41","8","6","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","32:21.60.7","1","0.0","--","--","--","--","--","--","--","00:32:20","00:32:22","2","12"
Running,2022-12-31 06:10:17,false,"Quan Son Tra Running","16.05","997","01:39:44","154","173","170","184","6:13","5:06","214","213","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:39:44.10","1","0.0","--","--","--","--","--","--","--","01:39:43","01:39:44","2","61"
Running,2022-12-30 18:57:10,false,"Quan Son Tra Running","6.43","402","00:44:25","144","152","165","172","6:54","5:45","20","18","0.88","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","44:24.53.4","1","0.0","--","--","--","--","--","--","--","00:44:25","00:44:25","2","15"
HIIT,2022-12-29 19:12:21,false,"HIIT","0.00","139","00:22:35","119","157","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","22:35.36.3","1","0.0","--","--","--","--","--","--","--","00:00:00","00:22:35","--","--"
Running,2022-12-28 07:16:48,false,"Quan Son Tra - Easy Run - 60 min","9.30","569","01:00:21","147","163","167","177","6:29","5:34","81","77","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:21.38.1","2","0.0","--","--","--","--","--","--","--","01:00:11","01:00:21","2","61"
HIIT,2022-12-27 19:32:54,false,"HIIT","0.00","109","00:22:25","106","126","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","22:24.58.4","1","0.0","--","--","--","--","--","--","--","00:00:00","00:23:58","--","--"
Running,2022-12-27 07:45:25,false,"Quan Son Tra Running","1.68","107","00:10:38","150","155","166","173","6:21","6:06","--","--","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","10:38.44","1","0.0","--","--","--","--","--","--","--","00:10:38","00:10:38","4","9"
Running,2022-12-27 06:44:43,false,"Quan Son Tra Running","10.19","638","01:00:04","159","182","168","194","5:54","4:10","117","116","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:24.18.3","3","0.0","--","--","--","--","--","--","--","01:00:04","01:00:04","2","61"
Running,2022-12-25 10:21:11,false,"Quan Son Tra Running","9.39","584","01:14:20","142","183","134","246","7:55","3:26","154","692","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:41.68.6","2","0.0","--","--","--","--","--","--","--","01:12:24","01:15:20","32","569"
Running,2022-12-25 09:03:18,false,"Quan Son Tra Running","5.52","498","01:06:47","131","174","102","238","12:06","6:13","414","47","0.81","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","10:46.83.5","2","0.0","--","--","--","--","--","--","--","01:02:01","01:15:21","198","589"
Walking,2022-12-25 08:59:17,false,"Quan Son Tra Walking","0.23","36","00:03:34.1","147","170","68","156","15:39","9:52","12","0","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:34.13","1","0.0","--","--","--","--","--","--","--","00:03:06","00:03:34.1","210","223"
Running,2022-12-25 07:32:32,false,"Quan Son Tra - Fast Finish Long Run","11.64","804","01:23:31","152","177","157","222","7:11","4:35","330","137","0.88","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","16:55.33.5","2","0.0","--","--","--","--","--","--","--","01:23:04","01:26:08","1","206"
Other,2022-12-23 18:41:42,false,"Other","0.00","490","00:49:18","156","179","48","246","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","49:17.53.3","1","0.0","--","--","--","--","--","--","--","00:00:00","00:49:18","--","--"
Running,2022-12-22 18:46:29,false,"Quan Son Tra - Tempo Intervals 1h10min","12.70","788","01:20:48","144","158","169","236","6:22","5:42","11","10","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:00.00","6","0.0","--","--","--","--","--","--","--","01:20:48","01:20:48","5","12"
Running,2022-12-20 19:04:35,false,"Quan Tan Binh - Easy Run - 50 min","10.03","619","01:10:22","147","152","164","170","7:01","5:35","28","30","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","20:21.81","2","0.0","--","--","--","--","--","--","--","01:10:22","01:10:22","8","13"
Running,2022-12-18 15:14:53,false,"Quan Tan Binh Running","5.50","363","00:34:51","163","180","170","177","6:20","5:38","5","3","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","34:50.60","1","0.0","--","--","--","--","--","--","--","00:34:50","00:34:51","8","13"
Walking,2022-12-16 19:24:28,false,"Quan Hai Chau Walking","0.26","15","00:05:10.8","78","88","67","160","19:46","12:40","--","--","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:10.75.3","1","0.0","--","--","--","--","--","--","--","00:04:43","00:05:10.8","--","3"
Cardio,2022-12-16 18:17:00,false,"Cardio","0.00","97","00:16:36","112","127","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","16:36.29.7","1","0.0","--","--","--","--","--","--","--","00:00:00","00:16:37","--","--"
Running,2022-12-15 17:57:00,false,"Quan Son Tra - Tempo lv1","11.42","705","01:03:37","163","177","173","184","5:34","4:36","9","7","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:03.18.9","4","0.0","--","--","--","--","--","--","--","01:03:37","01:03:37","5","12"
Cardio,2022-12-15 17:45:02,false,"Cardio","0.00","46","00:09:43.7","101","116","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:43.73.1","1","0.0","--","--","--","--","--","--","--","00:00:00","00:09:43.7","--","--"
Running,2022-12-13 18:21:32,false,"Quan Son Tra - Fartlek lv1","10.09","602","00:57:37","159","180","168","186","5:43","3:47","18","19","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:00.00","35","0.0","--","--","--","--","--","--","--","00:57:10","00:57:46","2","21"
Cardio,2022-12-13 06:52:00,false,"Cardio","0.00","57","00:12:14","103","112","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","12:14.47.4","1","0.0","--","--","--","--","--","--","--","00:00:00","00:12:14","--","--"
HIIT,2022-12-13 06:42:11,false,"HIIT","0.00","42","00:07:46.9","107","127","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:46.88.8","1","0.0","--","--","--","--","--","--","--","00:00:00","00:07:46.9","--","--"
Running,2022-12-12 06:17:48,false,"Quan Son Tra - Easy Run","10.25","631","01:04:41","150","164","166","220","6:19","4:35","96","94","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:40.63.1","2","0.0","--","--","--","--","--","--","--","01:04:26","01:04:41","2","61"
Breathwork,2022-12-09 21:24:42,false,"Relax and Focus","--","--","00:05:34","98","108","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.00","77","0.0","4","4","5","3","91","94","91","00:00:00","00:05:34","--","--"
Running,2022-12-09 18:43:25,false,"Quan Son Tra - Yasso 800s - Level 1","10.53","635","01:03:52","156","182","163","179","6:04","4:12","7","7","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:17.83.5","15","0.0","--","--","--","--","--","--","--","01:03:39","01:03:52","5","10"
Running,2022-12-08 18:05:12,false,"Quan Son Tra Running","5.02","322","00:29:13","153","173","163","179","5:49","5:06","17","19","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.88.9","6","0.0","--","--","--","--","--","--","--","00:29:00","00:29:13","2","21"
Walking,2022-12-08 08:03:10,false,"Quan Son Tra Walking","0.45","30","00:05:24.9","96","103","109","225","11:56","4:30","--","--","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:24.93.8","1","0.0","--","--","--","--","--","--","--","00:04:32","00:09:11.1","4","7"
Running,2022-12-07 06:15:00,false,"Run","8.70","531","01:00:00","0","0","0","0","6:54","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:00:00.00","1","0.0","--","--","--","--","--","--","--","00:00:00","01:00:00","--","--"
